Fe,C,Cr,Mo,Co,Ni,Nb,W,aus,tem,time,AF,DQ,HRc,UTS,YS,J,El
75.57,0.23,3,1.2,9,11,0,0,900,475,1,850,24,,1937,1495,,
75.57,0.23,3,1.2,9,11,0,0,900,475,5,850,24,,1940,1585,,10.3
75.57,0.23,3,1.2,9,11,0,0,900,475,10,850,24,,1919,1616,,10.1
75.57,0.23,3,1.2,9,11,0,0,900,475,20,850,24,,1882,1565,,8.8
75.57,0.23,3,1.2,9,11,0,0,900,475,50,850,24,,1644,1416,,9.3
75.57,0.23,3,1.2,9,11,0,0,900,475,0,0,0,,1987,1220,,10.2
75.57,0.23,3,1.2,9,11,0,0,900,475,1,0,0,,1725,1249,,13.4
75.57,0.23,3,1.2,9,11,0,0,900,475,5,0,0,,1801,1407,,12.7
75.57,0.23,3,1.2,9,11,0,0,900,475,10,0,0,,1796,1416,,12.4
75.57,0.23,3,1.2,9,11,0,0,900,475,20,0,0,,1721,1426,,11.2
75.57,0.23,3,1.2,9,11,0,0,900,450,0,850,0,56.8,,,38.2,
75.57,0.23,3,1.2,9,11,0,0,900,450,5,850,0,56.2,,,39.2,
75.57,0.23,3,1.2,9,11,0,0,900,500,0,850,0,56.8,,,38.2,
75.57,0.23,3,1.2,9,11,0,0,900,500,5,850,0,54.2,,,60.8,
75.57,0.23,3,1.2,9,11,0,0,900,525,0,850,0,56.8,,,38.2,
75.57,0.23,3,1.2,9,11,0,0,1050,475,0,850,0,56.1,2129,1202,48.5,13.4
75.57,0.23,3,1.2,9,11,0,0,1050,475,1,850,0,54.9,1899,1251,43.6,13.1
75.57,0.23,3,1.2,9,11,0,0,1050,475,5,850,0,55.9,1936,1426,48.5,13
75.57,0.23,3,1.2,9,11,0,0,1050,475,10,850,0,55.4,1946,1459,55.9,13.2
75.57,0.23,3,1.2,9,11,0,0,1050,475,20,850,0,55,1847,1430,66.6,11.1
75.57,0.23,3,1.2,9,11,0,0,1050,475,50,850,0,51.8,1704,1342,73.5,13.3
75.57,0.23,3,1.2,9,11,0,0,1050,475,0,700,0,56.4,,,43.1,
75.57,0.23,3,1.2,9,11,0,0,1050,475,1,700,0,55,,,41.7,
75.57,0.23,3,1.2,9,11,0,0,1050,475,5,700,0,55.9,,,45.1,
75.57,0.23,3,1.2,9,11,0,0,1050,475,10,700,0,54.7,,,56.8,
75.57,0.23,3,1.2,9,11,0,0,1050,475,20,700,0,54.9,,,75,
75.57,0.23,3,1.2,9,11,0,0,1050,475,50,700,0,52.1,,,83.3,
75.57,0.23,3,1.2,9,11,0,0,1050,475,0,850,24,,2085,1357,,
75.57,0.23,3,1.2,9,11,0,0,1050,475,1,850,24,,1882,1423,,12.2
75.57,0.23,3,1.2,9,11,0,0,1050,475,5,850,24,,1933,1567,,10
75.57,0.23,3,1.2,9,11,0,0,1050,475,10,850,24,,1907,1568,,10.9
75.57,0.23,3,1.2,9,11,0,0,1050,475,20,850,24,,1925,1599,,9.9
75.57,0.23,3,1.2,9,11,0,0,1050,475,50,850,24,,1658,1411,,11.9
75.57,0.23,3,1.2,9,11,0,0,1050,450,0,850,0,56.1,,,48.5,
75.57,0.23,3,1.2,9,11,0,0,1050,450,5,850,0,55.7,,,44.1,
75.57,0.23,3,1.2,9,11,0,0,1050,450,0,700,0,56.4,,,43.1,
75.57,0.23,3,1.2,9,11,0,0,1050,450,5,700,0,55.6,,,43.6,
75.57,0.23,3,1.2,9,11,0,0,1050,500,0,850,0,56.1,,,48.5,
75.57,0.23,3,1.2,9,11,0,0,1050,500,5,850,0,54.1,,,73.5,
75.57,0.23,3,1.2,9,11,0,0,1050,500,0,700,0,56.4,,,43.1,
75.57,0.23,3,1.2,9,11,0,0,1050,500,5,700,0,53.4,,,70.6,
75.57,0.23,3,1.2,9,11,0,0,1050,525,0,850,0,56.1,,,48.5,
75.57,0.23,3,1.2,9,11,0,0,1050,525,0,700,0,56.4,,,43.1,
75.57,0.23,3,1.2,9,11,0,0,1050,475,0,700,0,,2083,1204,,11.6
75.57,0.23,3,1.2,9,11,0,0,1050,475,1,700,0,,1922,1386,,13.1
75.57,0.23,3,1.2,9,11,0,0,1050,475,5,700,0,,1938,1505,,14.2
75.57,0.23,3,1.2,9,11,0,0,1050,475,10,700,0,,1891,1516,,13
75.57,0.23,3,1.2,9,11,0,0,1050,475,20,700,0,,1811,1431,,11.5
75.57,0.23,3,1.2,9,11,0,0,1050,475,50,700,0,,1623,1351,,15.2
75.57,0.23,3,1.2,9,11,0,0,1050,475,0,700,24,,2024,1323,,
75.57,0.23,3,1.2,9,11,0,0,1050,475,1,700,24,,1894,1414,,12.4
75.57,0.23,3,1.2,9,11,0,0,1050,475,5,700,24,,1951,1588,,10.2
75.57,0.23,3,1.2,9,11,0,0,1050,475,10,700,24,,1916,1563,,12.5
75.57,0.23,3,1.2,9,11,0,0,1050,475,20,700,24,,1788,1505,,6.9
75.57,0.23,3,1.2,9,11,0,0,1050,475,50,700,24,,1659,1415,,12.1
75.57,0.23,3,1.2,9,11,0,0,1050,475,0,0,0,,1600,1058,,8.8
75.57,0.23,3,1.2,9,11,0,0,1050,475,1,0,0,,1455,1177,,13.1
75.57,0.23,3,1.2,9,11,0,0,1050,475,5,0,0,,1373,1119,,11.9
75.57,0.23,3,1.2,9,11,0,0,1050,475,10,0,0,,1377,1200,,11.7
75.57,0.23,3,1.2,9,11,0,0,1050,475,20,0,0,,1386,1208,,12.3
75.57,0.23,3,1.2,9,11,0,0,1050,475,50,0,0,,,,,
71.57,0.23,3,1.2,13,11,0,0,900,475,0,850,0,55.8,2115,1196,42.1,12.1
71.57,0.23,3,1.2,13,11,0,0,900,475,1,850,0,56.7,2033,1433,42.1,10
71.57,0.23,3,1.2,13,11,0,0,900,475,5,850,0,57.1,2059,1550,38.2,11.3
71.57,0.23,3,1.2,13,11,0,0,900,475,10,850,0,56.1,1956,1517,51.5,11.6
71.57,0.23,3,1.2,13,11,0,0,900,475,20,850,0,53,1810,1436,62.7,11.2
71.57,0.23,3,1.2,13,11,0,0,900,475,50,850,0,50.8,1622,1367,64.7,12.7
71.57,0.23,3,1.2,13,11,0,0,900,475,0,850,24,,2000,1339,,11.8
71.57,0.23,3,1.2,13,11,0,0,900,475,1,850,24,,2039,1621,,10.9
71.57,0.23,3,1.2,13,11,0,0,900,475,5,850,24,,2050,1708,,11.2
71.57,0.23,3,1.2,13,11,0,0,900,475,10,850,24,,1969,1691,,8.8
71.57,0.23,3,1.2,13,11,0,0,900,475,20,850,24,,1856,1601,,10.3
71.57,0.23,3,1.2,13,11,0,0,900,475,50,850,24,,1569,1409,,10
71.57,0.23,3,1.2,13,11,0,0,900,475,0,700,0,,2094,1299,,11.2
71.57,0.23,3,1.2,13,11,0,0,900,475,1,700,0,,2055,1514,,11
71.57,0.23,3,1.2,13,11,0,0,900,475,5,700,0,,2020,1624,,11.6
71.57,0.23,3,1.2,13,11,0,0,900,475,10,700,0,,1919,1581,,11.5
71.57,0.23,3,1.2,13,11,0,0,900,475,20,700,0,,1799,1528,,13.4
71.57,0.23,3,1.2,13,11,0,0,900,475,50,700,0,,1610,1441,,13.5
71.57,0.23,3,1.2,13,11,0,0,900,475,0,700,24,,2035,1373,,10.9
71.57,0.23,3,1.2,13,11,0,0,900,475,1,700,24,,2063,1612,,9.2
71.57,0.23,3,1.2,13,11,0,0,900,475,5,700,24,,2049,1726,,9.5
71.57,0.23,3,1.2,13,11,0,0,900,475,10,700,24,,1976,1694,,9.3
71.57,0.23,3,1.2,13,11,0,0,900,475,20,700,24,,1850,1627,,11.5
71.57,0.23,3,1.2,13,11,0,0,900,475,50,700,24,,1584,1443,,12
71.57,0.23,3,1.2,13,11,0,0,900,475,0,0,0,,1937,1243,,8.4
71.57,0.23,3,1.2,13,11,0,0,900,475,1,0,0,,1822,1345,,11.4
71.57,0.23,3,1.2,13,11,0,0,900,475,5,0,0,,1907,1472,,11.3
71.57,0.23,3,1.2,13,11,0,0,900,475,10,0,0,,1832,1503,,11.1
71.57,0.23,3,1.2,13,11,0,0,900,475,20,0,0,,1729,1435,,10.2
71.57,0.23,3,1.2,13,11,0,0,900,450,0,850,0,55.8,,,42.1,
71.57,0.23,3,1.2,13,11,0,0,900,450,1,850,0,55.2,,,39.2,
71.57,0.23,3,1.2,13,11,0,0,900,450,5,850,0,57.1,,,35.3,
71.57,0.23,3,1.2,13,11,0,0,900,450,10,850,0,58,,,39.2,
71.57,0.23,3,1.2,13,11,0,0,900,450,20,850,0,57.7,,,42.6,
71.57,0.23,3,1.2,13,11,0,0,900,450,50,850,0,55.9,,,48,
71.57,0.23,3,1.2,13,11,0,0,900,450,100,850,0,53.2,,,50,
71.57,0.23,3,1.2,13,11,0,0,900,500,0,850,0,55.8,,,42.1,
71.57,0.23,3,1.2,13,11,0,0,900,500,5,850,0,53.5,,,58.8,
71.57,0.23,3,1.2,13,11,0,0,900,525,0,850,0,55.8,,,42.1,
71.57,0.23,3,1.2,13,11,0,0,900,475,0,700,0,55.8,,,41.2,
71.57,0.23,3,1.2,13,11,0,0,900,475,1,700,0,57,,,42.1,
71.57,0.23,3,1.2,13,11,0,0,900,475,5,700,0,56.8,,,47,
71.57,0.23,3,1.2,13,11,0,0,900,475,10,700,0,55.7,,,59.3,
71.57,0.23,3,1.2,13,11,0,0,900,475,20,700,0,53.9,,,63.7,
71.57,0.23,3,1.2,13,11,0,0,900,475,50,700,0,50.4,,,78.4,
71.57,0.23,3,1.2,13,11,0,0,900,450,0,700,0,55.8,,,41.2,
71.57,0.23,3,1.2,13,11,0,0,900,450,1,700,0,56.4,,,37.2,
71.57,0.23,3,1.2,13,11,0,0,900,450,5,700,0,57.7,,,45.1,
71.57,0.23,3,1.2,13,11,0,0,900,450,10,700,0,58.1,,,42.1,
71.57,0.23,3,1.2,13,11,0,0,900,450,20,700,0,56.9,,,51.5,
71.57,0.23,3,1.2,13,11,0,0,900,450,50,700,0,55.7,,,54.9,
71.57,0.23,3,1.2,13,11,0,0,900,450,100,700,0,53.6,,,68.6,
71.57,0.23,3,1.2,13,11,0,0,900,500,0,700,0,55.8,,,41.2,
71.57,0.23,3,1.2,13,11,0,0,900,500,5,700,0,54.1,,,69.6,
71.57,0.23,3,1.2,13,11,0,0,900,525,0,700,0,55.8,,,41.2,
71.57,0.23,3,1.2,13,11,0,0,1050,475,0,850,0,56.6,2087,1213,48,9.2
71.57,0.23,3,1.2,13,11,0,0,1050,475,1,850,0,56.5,2009,1422,44.1,11.2
71.57,0.23,3,1.2,13,11,0,0,1050,475,5,850,0,57,2028,1584,52.4,9.3
71.57,0.23,3,1.2,13,11,0,0,1050,475,10,850,0,56.2,1949,1498,57.8,12.3
71.57,0.23,3,1.2,13,11,0,0,1050,475,20,850,0,54.4,1802,1453,59.3,11.9
